neg,neu,pos,compound,Filename
0.055,0.856,0.09,0.9998,Euro J of Education - 2022 - Selwyn - The future of AI and education  Some cautionary notes.pdf
0.059,0.87,0.071,0.9997,s10560-023-00931-2.pdf
0.041,0.891,0.068,0.9999,s00146-023-01675-4.pdf
0.045,0.868,0.087,1.0,FILE_7032.pdf
0.047,0.874,0.08,1.0,CRDC_School_Suspension_REPORT.pdf
0.015,0.922,0.063,1.0,1-s2.0-S0952197623002555-main.pdf
0.084,0.839,0.078,-0.9998,Lost-Opportunities-REPORT-v17.pdf
0.025,0.86,0.116,1.0,facilitation-instructions-and-materials-revising-school-discipline-policies.pdf
0.118,0.79,0.091,-0.9999,ED629271.pdf
0.061,0.82,0.119,1.0,The influence of Student Discipline Practices on Students School.pdf
0.043,0.892,0.066,0.9998,darling-hammond-et-al-2023-the-dynamic-nature-of-student-discipline-and-discipline-disparities.pdf
0.079,0.765,0.156,0.9998,Impact_SEAD_Brief_V13.pdf
0.039,0.798,0.163,0.9998,School-Discipline-2021-revised.pdf
0.071,0.864,0.065,-0.9968,An-Analysis-of-School-Discipline.pdf
0.057,0.896,0.048,-0.9999,NYC-Suspension-Effects-Behavioral-Academic-Outcomes-August-2021.pdf
0.042,0.871,0.087,1.0,Analysis of School Discipline Policies at a Title I High School i.pdf
0.033,0.867,0.1,1.0,s40537-023-00835-z.pdf
